DOCUMENT_NUMBER,TRN_YEAR,TRN_MONTH,TRN_DATE,AMOUNT,CUS_CODE,COMMENTS,CUSTOMER_NAME,VAT,DISC,BCODE,USERNAME,AMOUNT_INCLUSIVE,AMOUNT_EXCLUSIVE,TELEPHONE,EMAIL,COMPANY,ADDRESS,MPESA_TILL,BRANCH_NAME,_raw_source_sheet,_raw_processed_at,_source_file_path,_source_file_name,_broze_data_granularity,_broze_valid_from,_broze_valid_to,_broze_is_current,_broze_record_version,_broze_load_timestamp,_broze_ingestion_date,_data_hash,_bronze_source_file_path,_bronze_source_file_name,_bronze_source_file_mtime,_bronze_load_id,_bronze_load_timestamp,_bronze_ingestion_date,_bronze_data_granularity
CIV10048874,2025,11,2025-11-01 08:22:45.206,380.0,C250255135452,,ICARE CHEMIST,0.0,0.0,1,RACHEAL,380.0,380.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048877,2025,11,2025-11-01 08:34:13.125,1072.0,C2408216093907,,DELCHEM CHOKAA,0.0,0.0,1,RACHEAL,1072.0,1072.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048876,2025,11,2025-11-01 08:36:24.673,1160.0,C2408214085241,,DELCHEM SOWETO,0.0,0.0,1,RACHEAL,1160.0,1160.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048871,2025,11,2025-11-01 08:38:31.931,4316.0,C2408215121256,,EK LATE NIGHT,0.0,0.0,1,JUDIE,4316.0,4316.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048875,2025,11,2025-11-01 08:40:04.336,966.5,CUS001698,,MURADI CHEMIST,0.0,0.0,1,RACHEAL,966.5,966.5,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048807,2025,11,2025-11-01 08:41:21.696,2127.0,CUS001698,,MURADI CHEMIST,0.0,0.0,1,RACHEAL,2127.0,2127.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048878,2025,11,2025-11-01 08:49:29.287,829.0,C250118100123,,4A PHARMACY  PHARMACY,0.0,0.0,1,JUDIE,829.0,829.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048879,2025,11,2025-11-01 08:53:48.693,990.0,CUS002542,,LATE NIGHT CHEM ,0.0,0.0,1,JUDIE,990.0,990.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048880,2025,11,2025-11-01 08:58:56.503,590.0,C2408220154218,,TOPMAX,0.0,0.0,1,RACHEAL,590.0,590.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
CIV10048881,2025,11,2025-11-01 08:59:32.601,28.0,C2408220154218,,TOPMAX,0.0,0.0,1,RACHEAL,28.0,28.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-12-08T11:13:01.872362,,,,,,,,,,,C:\pharma_warehouse\excel_etl_pipeline\raw_layer\raw_data\output\sales\cash_invoices\summarized\2025\sumci_11_november_2025_nextech.parquet,sumci_11_november_2025_nextech.parquet,2025-12-08 11:13:02.16845,6ac2f8c1,2025-12-08 11:44:55.166111,2025-12-08,summarized
